m/z,feature importance
613.5183715820312,0.1476433
683.5001831054688,0.14761826
853.722412109375,0.14738198
590.3494262695312,0.14713703
538.3967895507812,0.14710774
615.4932861328125,0.14692932
363.1197509765625,0.14560916
475.2896423339844,0.1455354
619.39306640625,0.14476706
535.2369384765625,0.14472997
567.3904418945312,0.14465733
513.2579345703125,0.14425421
626.5877685546875,0.14390187
852.5775146484375,0.143621
816.5791015625,0.14311552
350.2953186035156,0.14301775
836.6132202148438,0.14278392
741.5275268554688,0.14275156
643.5269775390625,0.1424868
550.3562622070312,0.14235134
567.4304809570312,0.14210671
631.1925659179688,0.14183004
758.5117797851562,0.14163305
697.4745483398438,0.1414877
834.538330078125,0.14102173
876.58642578125,0.14044046
824.5537719726562,0.14025742
852.5125122070312,0.14000739
420.2171630859375,0.1395605
786.6004638671875,0.13844706
719.4585571289062,0.13774876
521.3975219726562,0.13724358
547.4713745117188,0.13701726
882.5611572265625,0.13694945
745.5523681640625,0.13590372
445.2710266113281,0.1355948
323.2715759277344,0.1345146
861.6670532226562,0.134131
469.3249206542969,0.13333015
818.5640258789062,0.13301335
884.5060424804688,0.13272981
475.21966552734375,0.1326552
313.2720031738281,0.1325204
625.517822265625,0.13243902
751.4071044921875,0.13231534
367.3345642089844,0.1322312
535.3768920898438,0.13222082
727.5181884765625,0.13182162
742.5675048828125,0.13174735
713.4487915039062,0.13133459
806.5095825195312,0.13081612
778.535888671875,0.13030992
682.4552001953125,0.12921225
773.5860595703125,0.12880433
798.5399780273438,0.12841217
384.0038146972656,0.12808178
725.5532836914062,0.12796238
871.691650390625,0.12708707
397.3081970214844,0.126698
546.3514404296875,0.12594427
365.2796630859375,0.12555915
772.6161499023438,0.12544832
465.235107421875,0.12530334
326.1064453125,0.12464067
427.3818359375,0.12425672
828.4935913085938,0.124140665
526.3273315429688,0.12401013
849.4876098632812,0.12344341
735.4927978515625,0.12335047
607.388671875,0.12298127
810.5394287109375,0.122936286
385.34375,0.122818224
589.5194702148438,0.12257961
751.4620971679688,0.12242176
465.3901062011719,0.12233649
782.5056762695312,0.12226272
626.332763671875,0.12198634
426.1368713378906,0.12174279
485.1991882324219,0.12163092
859.5321655273438,0.121272
325.06646728515625,0.12039584
437.2013854980469,0.12038635
622.3679809570312,0.12006024
784.5255737304688,0.120034315
881.5111694335938,0.12000582
749.5072021484375,0.11991821
485.2991943359375,0.11989905
825.6237182617188,0.11963563
763.4615478515625,0.11892782
524.367431640625,0.11867142
415.2223815917969,0.117490984
670.6107788085938,0.117400296
