m/z,feature importance,mean
768.59,1.0,0.2060038637191579
645.41,0.59344655,0.0094860002658341
372.19,0.53382546,-0.0113232544031776
746.6,0.5312656,0.1790561195094812
686.59,0.524743,-0.0071065280626745
335.97,0.4573731,0.0149988813571522
521.45,0.42276636,0.0019782660609838
744.59,0.409462,0.1722812677337553
546.53,0.40270385,-0.0125497264488055
602.59,0.40019295,-0.0214902369474537
