,UPEC_12
768.5863,0.20600386371915796
746.6023,0.17905611950948122
744.5874,0.1722812677337553
720.5885,0.14936833931678395
766.5714,0.14757961566685662
709.514,0.12773765912049362
707.4991,0.12563221111002126
742.5675,0.11586818620446873
796.525,0.1144873333324217
740.5526,0.10328056583869301
780.5508,0.09694767440939384
563.54065,0.09633846187482391
772.61615,0.09612783040283822
718.5736,0.09275460625798104
537.5218,0.09258279605650072
683.5002,0.08975807735722086
796.63007,0.08720399115085342
731.498,0.08708193504327547
733.5179,0.08507548690734716
758.5668,0.08408077686091588
534.292,0.07827667661287813
756.5519,0.07628862443530587
735.53284,0.07439943302479107
737.4527,0.07348090649065107
758.53674,0.0729076420895765
721.47845,0.07144350482952909
806.5646,0.07127882835994241
732.553,0.07061929377103623
728.5181,0.06868659025360346
518.3227,0.06717745090353267
754.5369,0.06665742327964463
824.5538,0.06610000818818688
770.5062,0.06581382286904372
772.5211,0.06460005825617458
798.54,0.0610617288165169
318.10678,0.05828863439426336
786.60046,0.05805264883023783
808.57947,0.057491011489655686
744.49243,0.05662067110553991
818.59406,0.05336555408177478
782.5657,0.052733742691973215
496.33868,0.05264069186188462
551.50116,0.0512006924657234
830.5285,0.0496190630192125
603.5338,0.048535444151882406
562.3257,0.04845423612715759
739.46765,0.048261573229035126
560.3108,0.047721185763316284
749.5072,0.04722846207037476
711.4339,0.046517624550433026
816.5791,0.04639683916063083
741.5275,0.04624539199322328
794.51013,0.04595479205529948
703.5743,0.04484267991307419
575.5001,0.04460073587532495
820.5239,0.044573577349569536
778.5359,0.04400408345182159
723.49335,0.0439067461486541
522.3575,0.04359826255276478
430.37668,0.04301709254811423
730.538,0.04209695134673431
727.5182,0.04183752635349726
856.5423,0.04147381877893219
855.73737,0.0411146696123286
682.4552,0.0409731714659194
542.3216,0.0405765685467062
706.5391,0.04037972011517889
925.51917,0.03981834356865184
441.2362,0.03975332678739205
804.5497,0.039740142434661674
840.57306,0.039634785715382426
765.48145,0.03955025087311604
863.682,0.039304678876736186
872.48157,0.03901151679505524
504.34332,0.038963507654300095
730.57306,0.03875492914596855
868.5268,0.03839512582924724
829.7235,0.038246517409215766
947.5032,0.03817128883989086
725.5533,0.03800337301277559
814.5592,0.03789297023665716
963.4775,0.037804866539433477
889.7008,0.03755566831971641
747.49225,0.03665559820715664
852.5775,0.036524204112104844
573.48517,0.03637640358315598
802.5898,0.03580471764494207
854.5274,0.035542916782094675
846.5378,0.03501340860692782
523.4725,0.034619430213298885
695.45966,0.034154100716546426
866.58185,0.034056403270719494
337.2759,0.03369148040209526
852.5125,0.03357670607556376
838.5581,0.03309975330035743
549.48627,0.03268574190089561
760.58167,0.032669420447854
844.5229,0.03263641787181917
478.3295,0.032398385325854234
745.47736,0.03227006468974819
577.52,0.03216315985794632
858.5622,0.03161973370750433
601.5189,0.031597334737172134
740.5226,0.031540280094849944
661.5212,0.03145661181694358
724.5283,0.031420717725005896
617.5132,0.031334702016015986
465.2351,0.03115676034500948
804.4947,0.03113596252712298
845.6728,0.030985298750134057
854.5624,0.030902753714989052
806.5096,0.030646270000109943
857.75226,0.03057581491719398
871.7066,0.030508519029287483
758.5118,0.030500501546384028
870.5367,0.030265908736145236
774.57104,0.03024339729947924
761.45166,0.02964333334975884
897.72546,0.029446774422187537
826.56866,0.029399532311478613
801.4248,0.029243292362805977
885.666,0.028949074682880133
788.5504,0.02859598032438249
734.5679,0.02856351975014168
842.58795,0.02841052169028984
697.47455,0.028261982576206362
546.35144,0.028125114335756526
853.7224,0.028096811491666002
828.4936,0.027882393778114484
804.6097,0.027790377071948823
685.4351,0.02761702719313522
835.66327,0.027607480142089327
818.50903,0.027444632990883636
871.69165,0.027363464982782103
830.5635,0.026876822544282995
756.4919,0.0267516588125749
597.4841,0.02673714405771825
348.19043,0.026634766432070696
787.46545,0.0259051269648665
702.5443,0.025805660986664904
