,UPEC_12
768.5863,0.29079085455991227
746.6023,0.2676162310803807
744.5874,0.2551932675091777
766.5714,0.24357873589453183
796.525,0.23819991183111955
720.5885,0.23316124847727215
780.5508,0.22687439147802402
758.5668,0.21937163956671712
709.514,0.21911410320425584
756.5519,0.21831053696085434
534.292,0.21427526543974929
737.4527,0.2109763310219991
806.5646,0.20832347389407113
721.47845,0.20695882293532553
798.54,0.20662572572333615
707.4991,0.20640112841586333
318.10678,0.2055820699283022
786.60046,0.20478968349564752
742.5675,0.20478331186343968
772.5211,0.20463584175976213
496.33868,0.20453822519155573
824.5538,0.20444763947850075
518.3227,0.20391750314869284
782.5657,0.20205046147877903
739.46765,0.20088850481531784
808.57947,0.1981196733016105
820.5239,0.19774324310413915
551.50116,0.19682100661770652
732.553,0.1966561583402373
603.5338,0.19634544750655059
723.49335,0.1963453905184681
562.3257,0.1958408658305829
754.5369,0.1949631036667605
741.5275,0.19460983074082572
770.5062,0.19139232314493548
563.54065,0.19103799589664494
703.5743,0.1901999142234293
577.52,0.18963773580425336
804.5497,0.18947952773254984
796.63007,0.18851754687293965
749.5072,0.18804510117420592
740.5526,0.1872195167131483
765.48145,0.18642052830123856
575.5001,0.18631911057699302
682.4552,0.1861106753314682
761.45166,0.18526416676398616
760.58167,0.18507767082042892
683.5002,0.18454509688947618
734.5679,0.1844667487628695
725.5533,0.1841100797547266
731.498,0.18366914438644732
848.5577,0.1818772266589197
832.5834,0.18059196960714607
718.5736,0.18040173958114125
627.5327,0.18031337008315007
788.6154,0.17985493518073514
747.49225,0.1798212639575716
826.56866,0.17870564695118596
369.34946,0.17847762971309677
599.504,0.17792842323510694
772.61615,0.1776921001684697
745.47736,0.17758513307272739
810.5994,0.17735135135957025
537.5218,0.17692523501756097
846.5378,0.17636475044254385
367.33456,0.17589914101732562
744.49243,0.1751267536322757
524.36743,0.1745794725019334
728.5181,0.17456641239201942
601.5189,0.17431663638950046
478.3295,0.17334400346261025
605.5487,0.17240456544500937
560.3108,0.17216410120092562
522.3575,0.17182829504305597
711.4339,0.171743222182424
806.5096,0.17148414983330307
393.29837,0.17123145095982406
313.272,0.17107961096324598
697.47455,0.17084752742890763
546.35144,0.1703690710303476
713.4488,0.16977655537058223
844.5229,0.16911939108747998
430.37668,0.1688543714478703
851.6375,0.1687055725864084
485.2992,0.16842231880394964
814.5592,0.1676127072100747
339.29083,0.16698898075878998
835.66327,0.16686589507015692
763.46155,0.16591662300408072
758.53674,0.16590956723454986
830.5285,0.1658407352107103
818.59406,0.1656233406503459
767.49634,0.16545693506957548
409.26764,0.16521091465656335
385.34375,0.1651371523259313
816.5791,0.1645473973124365
733.5179,0.16454089677453432
441.2362,0.16418785706531858
830.5635,0.16400821712009195
751.5221,0.16393416840478336
666.48096,0.16366292177092157
794.51013,0.16285285330200805
520.50757,0.16219141952521376
768.55133,0.16205121523359411
341.30576,0.1620047444472199
325.06647,0.1611288247425492
947.5032,0.1601560543167615
549.48627,0.1601105745028346
813.68427,0.15982090296647322
504.34332,0.1587065046107149
337.2759,0.15856651500149566
787.46545,0.1578737920248433
963.4775,0.157306509757434
776.59094,0.1568533710028498
459.2454,0.1561171052221595
789.48035,0.15579595290494608
925.51917,0.15496014551367887
801.4248,0.1549366636253252
828.4936,0.15434355277155232
469.32492,0.15404966314631374
852.5125,0.15373286252425056
724.5283,0.15339414499343174
872.48157,0.15330642694518493
840.57306,0.15327001654241634
695.45966,0.15313748131348837
769.5613,0.15276238648579976
778.5359,0.15210716384572276
465.2351,0.151830415141899
371.31937,0.1515657879283988
784.5256,0.151392593582786
849.6226,0.15111107067324747
792.56525,0.15096830645403625
735.53284,0.15066934949859334
740.5226,0.1499771240378518
856.5423,0.14973310267786077
443.2511,0.14941926592151156
785.45056,0.1492008079190389
625.5178,0.14912651336579996
790.5553,0.14866334496495415
828.5536,0.14850828039480812
727.5182,0.14765629163445504
863.682,0.1476441631292551
573.48517,0.14729942325159162
413.26248,0.14726827706423096
794.5701,0.14723069630214447
419.2522,0.14662550574888222
842.58795,0.1464206274505795
706.5391,0.14628257400813194
735.4328,0.14609783057627324
475.21967,0.14550632467701752
774.601,0.14533233742264406
852.5775,0.145328341233671
854.5274,0.14520774088229316
838.5581,0.14446030734486892
812.5493,0.14435083849655017
872.5566,0.1443062864538034
617.5132,0.14391373953450903
746.5673,0.1427083740112105
836.6132,0.1426692150928912
774.57104,0.14236360427414696
810.5394,0.1416848637904311
804.4947,0.14167177666327924
868.5268,0.14145181898193293
766.5414,0.1411174982843013
850.49756,0.14075437870483276
844.4629,0.14071715782310656
796.585,0.1402560750929741
825.6237,0.14022980883018366
542.3216,0.13998341108490175
401.338,0.13973425168647569
481.20938,0.13955795590587639
880.5462,0.13931524870396272
487.2791,0.1384042276737254
542.4916,0.13832805969186468
383.32883,0.1382688958745134
834.5383,0.13794470341880272
730.538,0.13714788606285921
818.50903,0.13711604966833335
788.5504,0.13576734512473942
758.5118,0.13572121667905213
523.4725,0.1356306534778322
745.55237,0.13558265570329953
812.5193,0.13529846935309775
870.5367,0.13436057449604022
521.3975,0.13383619267129931
833.6484,0.13330002076496938
519.3826,0.1332575611709106
611.53845,0.13268072674119347
858.5622,0.1325942776496425
854.5624,0.13233532269863324
769.47626,0.13196876380634404
782.5057,0.13165634932802828
415.22238,0.1308798108525332
836.5432,0.1308689252896562
366.2896,0.1307814259957918
832.5234,0.13057755992616216
415.28238,0.1304852010969133
643.527,0.1302988262377469
445.27103,0.13013390441970707
550.35626,0.12972800536940232
503.2534,0.12964642334871002
463.22018,0.12921697903592133
866.58185,0.12866091369253319
909.5449,0.12835454308759586
623.5029,0.12833791744492928
751.4071,0.1282984878685235
506.35825,0.12810817735982782
597.4841,0.1280537042813601
311.26712,0.12772304341251328
889.7008,0.12768141824153134
500.3135,0.12719745001998595
778.4759,0.12705475537314403
750.5421,0.12703502476809503
802.5898,0.1269597718354143
884.50604,0.12684087744285444
874.5715,0.12682308493615335
756.4919,0.12673425916567194
447.28592,0.1267100150707804
752.55707,0.1266937210199186
630.6176,0.12648265660509628
526.32733,0.12642479497408665
845.6728,0.12624406876293404
421.2721,0.12623910304540564
882.56116,0.1261876210903664
361.27484,0.12617664177636956
502.4984,0.1259365719208667
538.3968,0.1254586658302953
864.56696,0.12482876687120248
633.4874,0.12466207933025308
685.4351,0.12449397284849661
858.5922,0.12428418619804282
719.45856,0.12419060680757599
365.31964,0.12395855890591578
