m/z,UPEC_12,mean
768.5863,0.2907908545599122,0.2907908545599122
746.6023,0.2676162310803807,0.2676162310803807
744.5874,0.2551932675091777,0.2551932675091777
766.5714,0.2435787358945318,0.2435787358945318
796.525,0.2381999118311195,0.2381999118311195
720.5885,0.2331612484772721,0.2331612484772721
780.5508,0.226874391478024,0.226874391478024
758.5668,0.2193716395667171,0.2193716395667171
709.514,0.2191141032042558,0.2191141032042558
756.5519,0.2183105369608543,0.2183105369608543
534.292,0.2142752654397492,0.2142752654397492
737.4527,0.2109763310219991,0.2109763310219991
806.5646,0.2083234738940711,0.2083234738940711
721.47845,0.2069588229353255,0.2069588229353255
798.54,0.2066257257233361,0.2066257257233361
707.4991,0.2064011284158633,0.2064011284158633
318.10678,0.2055820699283022,0.2055820699283022
786.60046,0.2047896834956475,0.2047896834956475
742.5675,0.2047833118634396,0.2047833118634396
772.5211,0.2046358417597621,0.2046358417597621
496.33868,0.2045382251915557,0.2045382251915557
824.5538,0.2044476394785007,0.2044476394785007
518.3227,0.2039175031486928,0.2039175031486928
782.5657,0.202050461478779,0.202050461478779
739.46765,0.2008885048153178,0.2008885048153178
808.57947,0.1981196733016105,0.1981196733016105
820.5239,0.1977432431041391,0.1977432431041391
551.50116,0.1968210066177065,0.1968210066177065
732.553,0.1966561583402373,0.1966561583402373
603.5338,0.1963454475065505,0.1963454475065505
723.49335,0.1963453905184681,0.1963453905184681
562.3257,0.1958408658305829,0.1958408658305829
754.5369,0.1949631036667605,0.1949631036667605
741.5275,0.1946098307408257,0.1946098307408257
770.5062,0.1913923231449354,0.1913923231449354
563.54065,0.1910379958966449,0.1910379958966449
703.5743,0.1901999142234293,0.1901999142234293
577.52,0.1896377358042533,0.1896377358042533
804.5497,0.1894795277325498,0.1894795277325498
796.63007,0.1885175468729396,0.1885175468729396
749.5072,0.1880451011742059,0.1880451011742059
740.5526,0.1872195167131483,0.1872195167131483
765.48145,0.1864205283012385,0.1864205283012385
575.5001,0.186319110576993,0.186319110576993
682.4552,0.1861106753314682,0.1861106753314682
761.45166,0.1852641667639861,0.1852641667639861
760.58167,0.1850776708204289,0.1850776708204289
683.5002,0.1845450968894761,0.1845450968894761
734.5679,0.1844667487628695,0.1844667487628695
725.5533,0.1841100797547266,0.1841100797547266
731.498,0.1836691443864473,0.1836691443864473
848.5577,0.1818772266589197,0.1818772266589197
832.5834,0.180591969607146,0.180591969607146
718.5736,0.1804017395811412,0.1804017395811412
627.5327,0.18031337008315,0.18031337008315
788.6154,0.1798549351807351,0.1798549351807351
747.49225,0.1798212639575716,0.1798212639575716
826.56866,0.1787056469511859,0.1787056469511859
369.34946,0.1784776297130967,0.1784776297130967
599.504,0.1779284232351069,0.1779284232351069
772.61615,0.1776921001684697,0.1776921001684697
745.47736,0.1775851330727273,0.1775851330727273
810.5994,0.1773513513595702,0.1773513513595702
537.5218,0.1769252350175609,0.1769252350175609
846.5378,0.1763647504425438,0.1763647504425438
367.33456,0.1758991410173256,0.1758991410173256
744.49243,0.1751267536322757,0.1751267536322757
524.36743,0.1745794725019334,0.1745794725019334
728.5181,0.1745664123920194,0.1745664123920194
601.5189,0.1743166363895004,0.1743166363895004
478.3295,0.1733440034626102,0.1733440034626102
605.5487,0.1724045654450093,0.1724045654450093
560.3108,0.1721641012009256,0.1721641012009256
522.3575,0.1718282950430559,0.1718282950430559
711.4339,0.171743222182424,0.171743222182424
806.5096,0.171484149833303,0.171484149833303
393.29837,0.171231450959824,0.171231450959824
313.272,0.1710796109632459,0.1710796109632459
697.47455,0.1708475274289076,0.1708475274289076
546.35144,0.1703690710303476,0.1703690710303476
713.4488,0.1697765553705822,0.1697765553705822
844.5229,0.1691193910874799,0.1691193910874799
430.37668,0.1688543714478703,0.1688543714478703
851.6375,0.1687055725864084,0.1687055725864084
485.2992,0.1684223188039496,0.1684223188039496
814.5592,0.1676127072100747,0.1676127072100747
339.29083,0.1669889807587899,0.1669889807587899
835.66327,0.1668658950701569,0.1668658950701569
763.46155,0.1659166230040807,0.1659166230040807
758.53674,0.1659095672345498,0.1659095672345498
830.5285,0.1658407352107103,0.1658407352107103
818.59406,0.1656233406503459,0.1656233406503459
767.49634,0.1654569350695754,0.1654569350695754
409.26764,0.1652109146565633,0.1652109146565633
385.34375,0.1651371523259313,0.1651371523259313
816.5791,0.1645473973124365,0.1645473973124365
733.5179,0.1645408967745343,0.1645408967745343
441.2362,0.1641878570653185,0.1641878570653185
830.5635,0.1640082171200919,0.1640082171200919
751.5221,0.1639341684047833,0.1639341684047833
666.48096,0.1636629217709215,0.1636629217709215
794.51013,0.162852853302008,0.162852853302008
520.50757,0.1621914195252137,0.1621914195252137
768.55133,0.1620512152335941,0.1620512152335941
341.30576,0.1620047444472199,0.1620047444472199
325.06647,0.1611288247425492,0.1611288247425492
947.5032,0.1601560543167615,0.1601560543167615
549.48627,0.1601105745028346,0.1601105745028346
813.68427,0.1598209029664732,0.1598209029664732
504.34332,0.1587065046107149,0.1587065046107149
337.2759,0.1585665150014956,0.1585665150014956
787.46545,0.1578737920248433,0.1578737920248433
963.4775,0.157306509757434,0.157306509757434
776.59094,0.1568533710028498,0.1568533710028498
459.2454,0.1561171052221595,0.1561171052221595
789.48035,0.155795952904946,0.155795952904946
925.51917,0.1549601455136788,0.1549601455136788
801.4248,0.1549366636253252,0.1549366636253252
828.4936,0.1543435527715523,0.1543435527715523
469.32492,0.1540496631463137,0.1540496631463137
852.5125,0.1537328625242505,0.1537328625242505
724.5283,0.1533941449934317,0.1533941449934317
872.48157,0.1533064269451849,0.1533064269451849
840.57306,0.1532700165424163,0.1532700165424163
695.45966,0.1531374813134883,0.1531374813134883
769.5613,0.1527623864857997,0.1527623864857997
778.5359,0.1521071638457227,0.1521071638457227
465.2351,0.151830415141899,0.151830415141899
371.31937,0.1515657879283988,0.1515657879283988
784.5256,0.151392593582786,0.151392593582786
849.6226,0.1511110706732474,0.1511110706732474
