m/z,UPEC_12,mean
768.5863,0.2060038637191579,0.2060038637191579
746.6023,0.1790561195094812,0.1790561195094812
744.5874,0.1722812677337553,0.1722812677337553
720.5885,0.1493683393167839,0.1493683393167839
766.5714,0.1475796156668566,0.1475796156668566
709.514,0.1277376591204936,0.1277376591204936
707.4991,0.1256322111100212,0.1256322111100212
742.5675,0.1158681862044687,0.1158681862044687
796.525,0.1144873333324217,0.1144873333324217
740.5526,0.103280565838693,0.103280565838693
780.5508,0.0969476744093938,0.0969476744093938
563.54065,0.0963384618748239,0.0963384618748239
772.61615,0.0961278304028382,0.0961278304028382
718.5736,0.092754606257981,0.092754606257981
537.5218,0.0925827960565007,0.0925827960565007
683.5002,0.0897580773572208,0.0897580773572208
796.63007,0.0872039911508534,0.0872039911508534
731.498,0.0870819350432754,0.0870819350432754
733.5179,0.0850754869073471,0.0850754869073471
758.5668,0.0840807768609158,0.0840807768609158
534.292,0.0782766766128781,0.0782766766128781
756.5519,0.0762886244353058,0.0762886244353058
735.53284,0.074399433024791,0.074399433024791
737.4527,0.073480906490651,0.073480906490651
758.53674,0.0729076420895765,0.0729076420895765
721.47845,0.071443504829529,0.071443504829529
806.5646,0.0712788283599424,0.0712788283599424
732.553,0.0706192937710362,0.0706192937710362
728.5181,0.0686865902536034,0.0686865902536034
518.3227,0.0671774509035326,0.0671774509035326
754.5369,0.0666574232796446,0.0666574232796446
824.5538,0.0661000081881868,0.0661000081881868
770.5062,0.0658138228690437,0.0658138228690437
772.5211,0.0646000582561745,0.0646000582561745
798.54,0.0610617288165169,0.0610617288165169
318.10678,0.0582886343942633,0.0582886343942633
786.60046,0.0580526488302378,0.0580526488302378
808.57947,0.0574910114896556,0.0574910114896556
744.49243,0.0566206711055399,0.0566206711055399
818.59406,0.0533655540817747,0.0533655540817747
782.5657,0.0527337426919732,0.0527337426919732
496.33868,0.0526406918618846,0.0526406918618846
551.50116,0.0512006924657234,0.0512006924657234
830.5285,0.0496190630192125,0.0496190630192125
